
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
 19 -0.03109 -1.52079e-02 | 20 -0.03695  3.23233e-01 | 21 -0.04483  1.27851e-01
 22 -0.04592  5.01440e-01 | 23 -0.04047  9.34893e-01 | 24 -0.02679  2.13207e+00
 25 -0.01276  2.54916e+00 | 26  0.14044  1.02576e+01 | 27 -0.17470  4.37467e+01
 28  0.18349  7.00638e+01 | 29  0.03757  5.57989e+01 | 30 -0.07872  4.67450e+01
 31 -0.12798  3.95095e+01 | 32  0.13868 -5.25798e+00 | 33 -0.14989  3.92559e+01
 34  0.15784  4.20051e+01 | 35  0.00317  5.29451e+01 | 36 -0.05583  4.74368e+01
 37 -0.25034  3.91265e+01 | 38 -0.06777  3.20119e+01 | 39  0.07292 -8.15563e+00
 40  0.03872  1.26751e+01 | 41  0.02923  2.32693e+01 | 42  0.16934 -1.86772e+00
 43  0.02283  2.40987e+01 | 44 -0.04968  3.16777e+01 | 45 -0.06216  2.92091e+01
 46  0.09546 -1.85375e+01 | 47  0.00918 -2.21295e+00 | 48 -0.06053  1.07084e+01
 49  0.10494 -6.21773e+01 | 50  0.08089  2.07078e+01 | 51 -0.05615  4.87436e+01
 52  0.00357  5.66488e+01 | 53 -0.02233  5.02767e+01 | 54 -0.05880  4.76947e+01
 55  0.03417  3.89422e+01 | 56  0.06831  1.52579e+01 | 57 -0.02971  2.93660e+01
 58  0.15604 -4.93559e+01 | 59 -0.06937  3.07029e+01 | 60  0.12649  1.83363e+01
 61  0.12426  2.35666e+01 | 62  0.07693  1.44819e+01 | 63  0.15427 -2.05321e+01
 64 -0.05323  4.40828e+01 | 65 -0.03109  4.33679e+01 | 66 -0.09277  4.08420e+01
 67 -0.08429  4.01878e+01 | 68 -0.28444  3.06008e+01 |
68 variables; iteration 40; function evaluation 48; phase 2
Function value 3.4567015e+02; maximum gradient component mag -1.1295e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.11119  2.71657e+01 |  2  0.43096 -4.18334e+00 |  3  0.05803 -2.13979e+01
  4 -0.54128 -6.48406e+01 |  5 -0.52059 -4.46545e+01 |  6 -0.18225 -1.12951e+02
  7 -0.00026  4.09555e-02 |  8  0.00033  1.62594e-01 |  9 -0.00175 -7.32216e-02
 10 -0.00306 -1.84093e-01 | 11 -0.00035  3.03098e-01 | 12 -0.00617 -3.89684e-01
 13 -0.00435  6.16626e-02 | 14 -0.00683 -3.56097e-02 | 15 -0.00664  3.64380e-01
 16 -0.01314 -1.04874e-01 | 17 -0.01835 -2.26772e-01 | 18 -0.02294 -6.14616e-02
 19 -0.03112 -3.06093e-01 | 20 -0.03746 -1.47986e-01 | 21 -0.04449 -3.18943e-01
 22 -0.04758 -5.70447e-01 | 23 -0.04543 -1.20496e+00 | 24 -0.03609 -1.51367e+00
 25 -0.01947 -1.54171e+00 | 26  0.13466 -2.41867e+00 | 27 -0.18542  1.04895e+01
 28  0.18374  6.24063e+00 | 29  0.02405  8.28478e+00 | 30 -0.07554  7.73353e+00
 31 -0.12710  1.00294e+01 | 32  0.14034  1.04097e+00 | 33 -0.14293  1.22119e+01
 34  0.15545 -4.87583e+00 | 35  0.00060  5.85612e+00 | 36 -0.05831  5.19040e+00
 37 -0.25083  8.70092e+00 | 38 -0.07122  2.46617e+00 | 39  0.07425 -1.92106e+00
 40  0.03830  8.65460e-02 | 41  0.02721 -3.69678e-01 | 42  0.16786 -1.16828e+01
 43  0.02361 -1.37642e+00 | 44 -0.05733  8.03070e-01 | 45 -0.05846  7.68636e+00
 46  0.09424 -4.00409e+00 | 47  0.01041 -1.99497e+00 | 48 -0.06035  4.45210e+00
