"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"93",1991,1,4,0,0,1,17.5,17.5,0.84,1,0,0,0,0,0,0,0,0,0,0,0
"94",1991,1,4,0,0,1,18.5,18.5,1.26,1,0,0,0,0,0,0,0,0,0,0,0
"95",1991,1,4,0,0,1,19.5,19.5,0.98,0.571428571428571,0.428571428571429,0,0,0,0,0,0,0,0,0,0
"96",1991,1,4,0,0,1,20.5,20.5,1.4,0.4,0.6,0,0,0,0,0,0,0,0,0,0
"97",1991,1,4,0,0,1,21.5,21.5,1.12,0.625,0.375,0,0,0,0,0,0,0,0,0,0
"98",1991,1,4,0,0,1,22.5,22.5,0.98,0.714285714285714,0.285714285714286,0,0,0,0,0,0,0,0,0,0
"99",1991,1,4,0,0,1,23.5,23.5,0.98,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0,0,0
"100",1991,1,4,0,0,1,24.5,24.5,1.12,0.125,0.875,0,0,0,0,0,0,0,0,0,0
"101",1991,1,4,0,0,1,25.5,25.5,1.82,0.0769230769230769,0.846153846153846,0.0769230769230769,0,0,0,0,0,0,0,0,0
"102",1991,1,4,0,0,1,26.5,26.5,1.68,0.0833333333333333,0.833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0
"103",1991,1,4,0,0,1,27.5,27.5,1.96,0.0714285714285714,0.785714285714286,0.142857142857143,0,0,0,0,0,0,0,0,0
"104",1991,1,4,0,0,1,28.5,28.5,2.8,0.05,0.75,0.2,0,0,0,0,0,0,0,0,0
"105",1991,1,4,0,0,1,29.5,29.5,2.66,0,0.684210526315789,0.315789473684211,0,0,0,0,0,0,0,0,0
"106",1991,1,4,0,0,1,30.5,30.5,2.94,0,0.571428571428571,0.428571428571429,0,0,0,0,0,0,0,0,0
"107",1991,1,4,0,0,1,31.5,31.5,2.8,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"108",1991,1,4,0,0,1,32.5,32.5,2.52,0,0.611111111111111,0.388888888888889,0,0,0,0,0,0,0,0,0
"109",1991,1,4,0,0,1,33.5,33.5,2.66,0,0.421052631578947,0.578947368421053,0,0,0,0,0,0,0,0,0
"110",1991,1,4,0,0,1,34.5,34.5,2.24,0,0.3125,0.6875,0,0,0,0,0,0,0,0,0
"111",1991,1,4,0,0,1,35.5,35.5,1.82,0,0.230769230769231,0.769230769230769,0,0,0,0,0,0,0,0,0
"112",1991,1,4,0,0,1,36.5,36.5,2.38,0,0.0588235294117647,0.941176470588235,0,0,0,0,0,0,0,0,0
"113",1991,1,4,0,0,1,37.5,37.5,2.8,0,0.05,0.9,0.05,0,0,0,0,0,0,0,0
"114",1991,1,4,0,0,1,38.5,38.5,2.24,0,0,1,0,0,0,0,0,0,0,0,0
"115",1991,1,4,0,0,1,39.5,39.5,2.24,0,0,0.9375,0.0625,0,0,0,0,0,0,0,0
"116",1991,1,4,0,0,1,40.5,40.5,1.82,0,0,0.846153846153846,0.153846153846154,0,0,0,0,0,0,0,0
"117",1991,1,4,0,0,1,41.5,41.5,1.26,0,0,0.777777777777778,0.222222222222222,0,0,0,0,0,0,0,0
"118",1991,1,4,0,0,1,42.5,42.5,1.12,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"119",1991,1,4,0,0,1,43.5,43.5,0.56,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"120",1991,1,4,0,0,1,44.5,44.5,1.12,0,0,0.125,0.875,0,0,0,0,0,0,0,0
"121",1991,1,4,0,0,1,45.5,45.5,1.26,0,0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0,0
"122",1991,1,4,0,0,1,46.5,46.5,1.4,0,0,0,1,0,0,0,0,0,0,0,0
"123",1991,1,4,0,0,1,47.5,47.5,1.26,0,0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0,0
"124",1991,1,4,0,0,1,48.5,48.5,1.4,0,0,0,0.9,0.1,0,0,0,0,0,0,0
"125",1991,1,4,0,0,1,49.5,49.5,1.12,0,0,0,1,0,0,0,0,0,0,0,0
"126",1991,1,4,0,0,1,50.5,50.5,0.84,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"127",1991,1,4,0,0,1,51.5,51.5,1.12,0,0,0,0.625,0.375,0,0,0,0,0,0,0
"128",1991,1,4,0,0,1,52.5,52.5,1.68,0,0,0,0.75,0.25,0,0,0,0,0,0,0
"129",1991,1,4,0,0,1,53.5,53.5,1.82,0,0,0,0.384615384615385,0.615384615384615,0,0,0,0,0,0,0
"130",1991,1,4,0,0,1,54.5,54.5,1.68,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"131",1991,1,4,0,0,1,55.5,55.5,1.4,0,0,0,0,0.9,0.1,0,0,0,0,0,0
