
Initial statistics: 66 variables; iteration 0; function evaluation 0; phase 1
Function value 8.6237970e+03; maximum gradient component mag -1.5319e+05
 34 -0.11046  3.45870e+00 | 35  0.11411 -1.23188e+01 | 36 -0.01588 -5.09912e-01
 37 -0.08229  3.41788e+00 | 38 -0.24295  2.89371e+00 | 39 -0.09078  2.70559e+00
 40  0.04454 -8.68182e+00 | 41  0.02467 -5.21496e+00 | 42  0.01857 -6.32346e+00
 43  0.14200 -2.52027e+01 | 44  0.00812 -4.73660e+00 | 45 -0.05865  5.15576e-01
 46 -0.07425  1.85928e+00 | 47  0.06731 -5.87981e+00 | 48 -0.00037 -2.03362e+00
 49 -0.06590  7.03940e-01 | 50  0.08835 -2.93204e+00 | 51  0.05865 -2.28922e-01
 52 -0.05938  5.44942e+00 | 53 -0.02126  4.16399e+00 | 54 -0.03807  3.24738e+00
 55 -0.07824  6.57000e+00 | 56  0.01412  3.66448e+00 | 57  0.04876  3.30404e+00
 58 -0.03437  6.78269e+00 | 59  0.13581  4.26254e+00 | 60 -0.03999  6.15675e+00
 61  0.10504  4.93991e+00 | 62  0.10530  6.60275e+00 | 63  0.06846  7.20551e+00
 64  0.13599  4.66277e+00 | 65 -0.05913  8.12953e+00 | 66 -0.04517  5.28564e+00
 67 -0.09414  8.17006e+00 | 68 -0.02958  8.71152e+00 | 69  0.11663  4.52805e+00
 70 -0.09812  7.93153e+00 | 71 -0.03157  6.48219e+00 |

Initial statistics: 79 variables; iteration 0; function evaluation 0; phase 3
Function value 2.5922619e+02; maximum gradient component mag 6.3269e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.95700  5.87554e+00 |  2  0.44621 -2.08147e+00 |  3  0.08647 -5.18443e+01
  4 -0.51771 -1.46427e+02 |  5 -0.53323 -1.07044e+02 |  6 -0.49839 -8.17078e+01
  7 -0.05128 -1.81997e+01 |  8  0.00303  7.14197e-01 |  9  0.00169  3.82688e-01
 10  0.00000  2.13839e-01 | 11  0.00229  6.43160e-01 | 12 -0.00328  3.54862e-03
 13 -0.00767 -4.09076e-01 | 14 -0.00771 -1.03466e-01 | 15 -0.00911  1.43229e-01
 16 -0.01770 -5.38602e-01 | 17 -0.02471 -7.93299e-01 | 18 -0.02883 -3.29824e-01
 19 -0.03155  7.20384e-01 | 20 -0.05019 -8.55466e-01 | 21 -0.05608  1.20736e-02
 22 -0.06674 -3.18783e-01 | 23 -0.07484 -1.15864e+00 | 24 -0.06227  4.74478e-01
 25 -0.05797 -1.12672e+00 | 26 -0.04969 -1.65539e+00 | 27 -0.02321 -1.65483e+00
 28  0.03203  1.33606e+00 | 29  0.07485 -9.43341e-01 | 30  0.05465 -1.92793e+00
 31 -0.06691  7.80358e-01 | 32 -0.12315  3.33459e+00 | 33  0.10188 -9.95526e+00
 34 -0.11051  2.14797e+00 | 35  0.11406 -1.36284e+01 | 36 -0.01593 -1.84018e+00
