"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X44",5.69121417651035e-05,0.287562222068084,0.0746815210054328,0.386137425995975,0.115072803030391,0.0939644143366502,0.028438609797992,0.00722075809859023,0.00302612378548023,0.00159310539627014,0.00107976270065435,0.000674223563112067,0.000492118079602804,2011,"EBS"
"X45",0,0.370306696376031,0.248909521470016,0.0611089882388218,0.218960281257079,0.0589647904427935,0.0293599629578925,0.00739978043888001,0.00233767782589996,0.00168767912069135,0.000576995454577281,0.000154583717599892,0.000233042699717215,2012,"EBS"
"X46",0,0.0997907978487561,0.378114934264571,0.1993850118474,0.122310188111965,0.127167226157164,0.0548070454987974,0.0127476301125562,0.00370472618506006,0.00106645359542368,0.000243197830676774,0.000348010397858489,0.000314778149770008,2013,"EBS"
"X47",3.32254321608073e-05,0.286932853614983,0.179448408225778,0.231929247342719,0.196797057464102,0.0507645003670955,0.0392980903178948,0.0102122660658027,0.00217018569685171,0.000908469505426843,0.000832741390515967,9.7222971123393e-05,0.00057573160554516,2014,"EBS"
"X48",1.65066184494029e-05,0.0593591124208367,0.437590729844162,0.211034333606361,0.186828333536674,0.0743266444275298,0.0172669397071549,0.010340159200398,0.00226451921058168,0.000442666944413326,0.000236705046712298,0.00010539893056798,0.000187950506159117,2015,"EBS"
"X49",2.38186300416213e-06,0.103350130519175,0.101360218642051,0.363898199978292,0.220428005114763,0.144540820212945,0.0495183664633942,0.0111742536216666,0.00346108442266847,0.0013722547188349,0.00046739710992422,0.000285715823716397,0.000141171509564785,2016,"EBS"
"X50",6.35025853354101e-05,0.130308239223925,0.173836938796576,0.174218733088534,0.284552285441485,0.132659906447743,0.0756357132489414,0.0203799494487644,0.00329197089008048,0.00316370948686425,0.000607418450136785,0.000601073456065604,0.000680559435547972,2017,"EBS"
"X51",3.37356650049446e-05,0.0945266752271836,0.116700779405255,0.281923505447936,0.157599075180247,0.231042115428777,0.0779381129775085,0.0331016095983649,0.00332196561521468,0.00228755851350666,0.000692874442592285,0.000326101632922969,0.000505890865485664,2018,"EBS"
"X52",7.64855717517148e-06,0.669626425750433,0.0685943490148582,0.0692761921614534,0.0583148508742097,0.0441530406341029,0.0549471581207537,0.0259893802442012,0.00691165733798227,0.00106672113807518,0.000376317634074094,0.00024311068541095,0.000493147847270323,2019,"EBS"
"X53",0.00118555561026011,0.154298985154043,0.217557275664961,0.0912539758027553,0.090572085821427,0.172601331171302,0.183377839423755,0.0442985521778226,0.0256615068165869,0.0108820586701979,0.0034047024275388,0.00194967397446992,0.00295645728488053,1994,"NBS"
"X54",0.000817600344087908,0.093835002331272,0.153663583322246,0.307149749572179,0.116648413192962,0.131096170895533,0.123878745385963,0.0277776849852391,0.0218490658983739,0.0144439166673207,0.00321095854855527,0.00270272014902292,0.00292638870724429,1995,"NBS"
"X55",8.88787225615927e-05,0.0788097550804631,0.0885740790240303,0.074488024552617,0.24621297852411,0.251302965107378,0.163079824050384,0.064757257119981,0.0191329466511811,0.00623858525889979,0.00285837644757158,0.00187755917993454,0.00257877028088879,1996,"NBS"
"X56",0.000716455564229121,0.329348424800978,0.0925301819533093,0.0665698134826053,0.0986255560248816,0.157169186267211,0.181643490088336,0.0446316140365495,0.0216166281947837,0.00331014909342155,0.00229364683978555,0.000754964074007474,0.000789889579902114,1997,"NBS"
"X57",0.000191798904122078,0.0802016682533977,0.350952602060382,0.16036374187579,0.108466091416434,0.0783665662763229,0.116515613626549,0.0603578068683329,0.0362651975869593,0.00581928356312089,0.00106245040211156,0.000835458334755597,0.00060172083172105,1998,"NBS"
"X58",0.000453710594947529,0.178859519364369,0.155964071842206,0.155874807136102,0.140274231899331,0.0958738009987759,0.134427716976994,0.0734376327518275,0.0410079664042567,0.0164122749550795,0.00300848170143042,0.00274109426419203,0.00166469111048927,1999,"NBS"
"X59",0,0.158058971767609,0.0651790562475087,0.10430209852613,0.206396886170662,0.246007636782231,0.129949856940389,0.0273715229171428,0.0403266766947335,0.0105921916227496,0.00791475720435005,0.00262425536180792,0.00127608976468649,2000,"NBS"
"X60",0.000129945094341355,0.307650122539185,0.153476253586135,0.0814840512404692,0.0604294369695081,0.13520517685753,0.163836007356968,0.0666384844302759,0.0199173238865515,0.00432389389678425,0.00403876789774363,0.00189111109520128,0.000979425149306508,2001,"NBS"
"X61",0.000591821801979685,0.0745863679625361,0.113305364620802,0.203994416980946,0.256429280501372,0.118835329691565,0.122605393883927,0.0770098833130092,0.0233128870773596,0.00591917697484835,0.00177162191539227,0.000606455664618623,0.0010319996116439,2002,"NBS"
"X62",1.35070556322779e-05,0.14315880542346,0.0959287767265005,0.160000280040821,0.209476132127412,0.206380436572707,0.0833757312048882,0.0610937609735269,0.032082943655509,0.00594451481303834,0.000677124611496236,0.000642465359521828,0.00122552143548695,2003,"NBS"
"X63",0.000155242577015257,0.128103509844429,0.109756326706226,0.164584785210916,0.109086099102022,0.175135892567061,0.181680802948348,0.0675676686610884,0.0417842010720881,0.0149152991312133,0.00362178248830007,0.0022055068882632,0.00140288280303048,2004,"NBS"
"X64",8.28490881064686e-06,0.103390593809594,0.188364264683287,0.151829462964867,0.105398708754046,0.0906810589446703,0.165406873621826,0.11561009956432,0.0496115613154327,0.0178477673214655,0.00641217312630464,0.00460543374975924,0.000833717235616956,2005,"NBS"
"X65",0,0.439166255179142,0.0543847883435277,0.0429570238985942,0.0458343159703196,0.0902736569913686,0.117147004274325,0.100258537420106,0.0704098870831416,0.0260570057563787,0.00893737031161478,0.00238736285758497,0.00218679191389738,2006,"NBS"
"X66",0,0.702901411950357,0.0603678420940022,0.0282505500239121,0.0292486175404749,0.0587311970704207,0.0391966108844937,0.0349698641515682,0.0235645952638906,0.0143681900155448,0.00446313733225524,0.00179684945971949,0.00214113421336046,2007,"NBS"
"X67",0,0.278073278814931,0.249574035278095,0.0864266341498517,0.08027711991646,0.0794771365224461,0.0789485424185118,0.031411705129173,0.0592880619209079,0.0324634521383156,0.0135391146136049,0.00576575711831366,0.00475516197938898,2008,"NBS"
"X68",0,0.808250081484397,0.0343921332247233,0.0442761176057091,0.014404284072812,0.0144993294010861,0.0217753283143503,0.019646492531102,0.0256619833607686,0.00948260411800737,0.00455413071781649,0.00180043267403335,0.00125708249519407,2009,"NBS"
"X69",0,0.179475640054118,0.253949112890169,0.0769427349888391,0.0874176715180839,0.0825876331779546,0.082343586390597,0.0697660951265628,0.0968104238463507,0.0462735303402229,0.0151351454907337,0.00779206134734547,0.00150636482902272,2010,"NBS"
"X70",0.000367769431786735,0.419039265010243,0.0249801911142252,0.183684472752567,0.0876610049755202,0.146801263063671,0.0763722154512398,0.023732020026574,0.0191501858215796,0.00938193277387279,0.00537344397712912,0.00201667391037782,0.00143956169121374,2011,"NBS"
"X71",0,0.307036398264963,0.126702494807771,0.0334598747764097,0.230409242952122,0.138273947770164,0.102108867214428,0.0315961875043056,0.0153508548009492,0.0106579349385596,0.00297928194253568,0.000501908144323108,0.000923006883468093,2012,"NBS"
"X72",0,0.113475322737224,0.180309876044187,0.159603667786353,0.129644040248334,0.236223996388513,0.128954138123859,0.0335588965861151,0.0129464318184733,0.00332392837433256,0.000633370864148728,0.000585823143927352,0.000740507884532735,2013,"NBS"
"X73",7.18674980006376e-05,0.239261991002656,0.121881616098705,0.18055162248725,0.238550032673073,0.102562415063618,0.0847775994885028,0.0231034610158601,0.00502574732553977,0.00176121800724008,0.00142566306431719,0.000103406873040438,0.000923359402196847,2014,"NBS"
"X74",3.49106133714059e-05,0.0538225786715595,0.307063429500776,0.180847997640721,0.245560620483041,0.152718457791621,0.0307751172235369,0.0218822109729246,0.00545960117933959,0.000954435926531985,0.000426747941593568,0.000124293764774366,0.000329598290209192,2015,"NBS"
"X75",2.41229330038427e-06,0.0299551696797474,0.0672079719829893,0.296558011487728,0.246640098972066,0.257823438635245,0.0773179047950132,0.0173072702987472,0.00489856616991318,0.00149870534925642,0.000474326749913068,0.000176318580724369,0.00013980500535564,2016,"NBS"
"X76",7.19439024446732e-05,0.0523801095070991,0.160241098421501,0.124951372476296,0.290163960291039,0.232908058904771,0.0966842287379923,0.0328407791566899,0.00552254884653698,0.0027619888109952,0.00054938506712959,0.000320036016350512,0.000604489861155148,2017,"NBS"
"X77",3.16538671637624e-05,0.0458295155988559,0.0764821006481762,0.220281921750485,0.177901472291712,0.355160520516718,0.0958773562084745,0.024802475649513,0.00180396494514439,0.00116921266793846,0.000287354999738494,7.49794288415829e-05,0.000297471427238855,2018,"NBS"
"X78",8.49838009167041e-06,0.324866381805967,0.129502090226347,0.107652121360401,0.133547350266985,0.114878118845967,0.139015333874966,0.039935212665358,0.00718478255894975,0.00158507944934739,0.000409531810212571,0.000116408724965423,0.0012990900304419,2019,"NBS"
