
 - final statistics:
2 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -1.4896e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2  0.02667  1.46809e-01 |

 - final statistics:
121 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag 3.0832e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
106  0.01196  1.02488e-02 |107 -0.03877  7.45567e-04 |108 -0.01127  4.28940e-03
109  0.00507  5.87995e-03 |110 -0.02699  2.04553e-03 |111  0.04538  7.79416e-03
112  0.03371  3.33447e-04 |113  0.04885  1.21743e-03 |114  0.05361  2.32268e-05
115  0.03887  3.52319e-05 |116  0.05158  1.66913e-03 |117  0.02302 -5.05227e-05
118  0.09851  4.10592e-04 |119  0.00791  1.11912e-02 |120 -0.00714  1.50260e-02
121 -0.01307  1.42794e-02 |122  0.02797  1.89122e-02 |123  0.01086  2.79022e-02
124  0.00516  2.19282e-02 |125  0.00505  1.99841e-02 |126  0.00314  1.72517e-02
127 -0.00614  2.56371e-02 |128 -0.00097  2.22302e-02 |129 -0.00751  1.92924e-02
130  0.01089  2.80418e-02 |131 -0.00950  2.66647e-02 |132  0.01220  2.34455e-02
133 -0.00176  2.23484e-02 |134 -0.01623  1.75528e-02 |135  0.01859  1.82649e-02
136 -0.01368  1.55794e-02 |137  0.01174  2.78037e-02 |138  0.02163  2.45720e-02
139 -0.00526  3.17925e-02 |140 -0.00069  2.29546e-02 |141  0.01784  2.72029e-02
142 -0.01485  2.36627e-02 |143  0.02550  2.14465e-02 |144  0.00041  2.45863e-02
145  0.00926  1.66022e-02 |146 -0.01830  1.12492e-02 |147  0.01234  7.91833e-03
148  0.00677  3.47651e-03 |149 -0.02834  3.46874e-03 |150  0.03000  2.73413e-03
151 -0.00566  5.38543e-04 |

 - final statistics:
152 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -6.6725e-01
Exit code = 0;  converg criter 1.0000e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2 -0.07152  1.69525e-02 |  3  0.07957  9.43850e-02
  4 -0.47869  3.08325e-01 |  5 -0.58365  2.51170e-01 |  6 -0.23334  2.26600e-03
  7 -0.15192  5.59734e-03 |  8  0.02618 -3.53653e-02 |  9  0.07726 -5.05017e-03
 10  0.02667  1.46809e-01 | 11 -0.08954 -7.25556e-05 | 12 -0.23165  1.12027e-04
 13 -0.23679 -8.38889e-05 | 14 -0.24304 -6.94614e-05 | 15 -0.25002  3.22220e-05
 16 -0.25759  1.70837e-04 | 17 -0.26496  2.57300e-04 | 18 -0.27048  1.73446e-05
 19 -0.26595  4.91387e-05 | 20 -0.24029  1.54496e-04 | 21 -0.16046  3.00495e-04
 22 -0.13485  4.38038e-04 | 23 -0.17257  1.22336e-04 | 24 -0.02128  1.82724e-03
 25  0.08312  4.33818e-03 | 26  0.05177  2.94852e-03 | 27  0.04404  3.76373e-03
 28 -0.06826  1.34042e-03 | 29 -0.11897  1.97448e-03 | 30  0.08707  1.07462e-02
 31 -0.08743  3.15242e-03 | 32  0.07885  1.11269e-02 | 33 -0.02948  4.90591e-03
 34 -0.09485  2.64860e-03 | 35 -0.17628  2.29602e-03 | 36 -0.08567  5.06055e-03
 37  0.02092  1.15031e-02 | 38 -0.00493  8.21864e-03 | 39 -0.00762  8.44382e-03
