
 - final statistics:
2 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -1.4896e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2  0.02667  1.46809e-01 |

 - final statistics:
121 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag 3.0832e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 34 -0.09734 -7.15503e+01 | 35 -0.17743 -3.90611e+01 | 36 -0.08603 -8.36166e+01
 37  0.02084 -1.96285e+02 | 38 -0.00490 -1.54046e+02 | 39 -0.00835 -1.70905e+02
 40  0.08391 -2.99280e+02 | 41 -0.03044 -1.17526e+02 | 42 -0.06028 -1.00416e+02
 43 -0.06804 -9.08751e+01 | 44  0.05787 -2.78642e+02 | 45 -0.03836 -1.33795e+02
 46 -0.07591 -9.56801e+01 | 47  0.03446 -2.38880e+02 | 48  0.02382 -2.18080e+02
 49 -0.09977 -6.95586e+01 | 50 -0.02846 -1.43526e+02 | 51 -0.07319 -9.70088e+01
 52 -0.10361 -8.45180e+01 | 53 -0.04288 -1.12988e+02 | 54  0.05577 -2.42801e+02
 55 -0.02218 -1.03225e+02 | 56  0.09848 -2.30983e+02 | 57 -0.08292 -3.45556e+01
 58  0.05583 -9.41222e+01 | 59  0.09917 -8.14182e+01 | 60 -0.00048 -1.61306e+01
 61  0.10229 -3.36123e+01 | 62 -0.08431 -2.40473e+00 | 63 -0.05568 -9.52032e+00
 64 -0.12612 -5.42018e+00 | 65 -0.10146  7.30066e-01 | 66  0.09658 -8.63505e+00
 67 -0.16646 -2.01471e-01 | 68 -0.02884 -9.61040e+00 | 69 -0.89308 -1.29752e+01
 70  0.02288 -3.22648e+02 | 71  0.00954 -3.49984e+02 | 72  0.09020 -2.71165e-04
 73  0.09969  8.26442e+02 | 74 -0.00760 -5.02741e-05 | 75 -0.08620 -6.33140e+02
 76 -0.16034 -2.68642e+01 | 77  0.02175  7.99288e+02 | 78 -0.03716 -1.62489e+01
 79  0.05681 -8.35649e+01 | 80 -0.20383 -8.89625e+02 | 81 -0.03274 -1.30146e+00
 82 -0.45454  8.86049e-01 | 83 -0.28377 -7.49607e-03 | 84  0.07999 -3.53985e+01
 85 -0.62487 -1.61319e+03 | 86  0.00083 -1.43343e-03 | 87 -0.09803 -3.08283e-04
 88 -0.00056 -2.60397e+01 | 89  0.01700 -6.88579e+01 | 90  0.00534 -6.13958e+01
 91  0.00253 -4.09157e+01 | 92  0.00175 -1.57449e+02 | 93  0.00975 -2.96970e+01
 94  0.00919 -2.40960e+01 | 95  0.00410 -3.93560e+01 | 96  0.01284 -4.23082e+01
 97 -0.01372 -3.14704e+01 | 98  0.01492 -5.65214e+01 | 99  0.00964 -9.59770e+01
100  0.02574 -8.63748e+01 |101  0.00003 -5.68156e+01 |102  0.02207 -7.49948e+00
103 -0.02206 -5.00066e+01 |104 -0.02715 -2.88002e+01 |105 -0.02267 -4.00975e+01
106 -0.03463 -6.18287e+01 |107 -0.03810 -3.87810e+01 |108  0.01215 -7.11871e+01
109 -0.03885 -2.35766e+01 |110 -0.01115 -4.41160e+01 |111  0.00498 -7.84243e+01
112 -0.02700 -2.47004e+01 |113  0.04563 -2.31185e+01 |114  0.03365 -1.35613e+01
115  0.04883  1.73287e+00 |116  0.05335 -1.24436e+01 |117  0.03766 -6.38810e+00
118  0.05148  7.28727e+00 |119  0.02298  6.70455e+00 |120  0.09896  9.41139e+00
121  0.00908 -2.23159e+02 |122 -0.00649 -2.82949e+02 |123 -0.01247 -2.93509e+02
124  0.02897 -3.70913e+02 |125  0.01135 -5.71854e+02 |126  0.00565 -4.54391e+02
127  0.00592 -4.02250e+02 |128  0.00445 -3.53191e+02 |129 -0.00483 -3.27050e+02
130  0.00041 -3.59715e+02 |131 -0.00680 -3.67751e+02 |132  0.01164 -4.93934e+02
133 -0.00830 -4.78547e+02 |134  0.01252 -4.92920e+02 |135 -0.00060 -3.72944e+02
136 -0.01558 -3.47557e+02 |137  0.01934 -3.36330e+02 |138 -0.01291 -2.80536e+02
139  0.01286 -3.91395e+02 |140  0.02244 -4.03469e+02 |141 -0.00444 -4.35864e+02
142 -0.00004 -3.99531e+02 |143  0.01892 -4.25550e+02 |144 -0.01398 -3.92144e+02
145  0.02631 -3.93099e+02 |146  0.00101 -2.98487e+02 |147  0.00971 -2.37616e+02
148 -0.01762 -1.35867e+02 |149  0.01307 -9.61056e+01 |150  0.00752 -5.84905e+01
151 -0.02779 -2.09505e+01 |152  0.03105 -1.29040e+01 |153 -0.00567  2.16441e+00
153 variables; iteration 100; function evaluation 106; phase 8
Function value 1.8034834e+04; maximum gradient component mag -2.5492e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.22161  1.54129e+03 |  2 -0.07160 -1.22102e+02 |  3  0.07832 -8.19227e+02
  4 -0.47852 -2.54925e+03 |  5 -0.58512 -1.95738e+03 |  6 -0.23362 -9.21206e+00
  7 -0.15089 -4.29460e+01 |  8  0.02613  1.04803e+02 |  9  0.07761 -5.10930e+00
 10 -0.01383 -1.35431e+03 | 11 -0.10327 -1.31771e-01 | 12 -0.28012 -2.59732e+00
 13 -0.28046 -2.07585e+00 | 14 -0.28185 -1.55092e+00 | 15 -0.28450 -1.08858e+00
 16 -0.28855 -7.44915e-01 | 17 -0.29382 -6.70289e-01 | 18 -0.29929 -1.10466e+00
 19 -0.29589 -2.29631e+00 | 20 -0.26968 -4.29770e+00 | 21 -0.19275 -5.58173e+00
 22 -0.11455  4.75579e+00 | 23 -0.22672 -6.26389e+00 | 24 -0.02505 -1.36901e+01
 25  0.07473 -2.51759e+01 | 26  0.04422 -2.78305e+01 | 27  0.03578 -5.55359e+01
 28 -0.07539 -3.50317e+01 | 29 -0.12269 -2.20927e+01 | 30  0.08418 -7.56143e+01
 31 -0.09029 -1.73224e+01 | 32  0.07685 -6.57063e+01 | 33 -0.03266 -4.13224e+01
 34 -0.09778 -3.90201e+01 | 35 -0.17647 -2.09530e+01 | 36 -0.08626 -4.50584e+01
 37  0.02155 -7.90479e+01 | 38 -0.00604 -9.66461e+01 | 39 -0.00840 -8.66326e+01
 40  0.08369 -1.53048e+02 | 41 -0.03061 -6.34819e+01 | 42 -0.06143 -6.57075e+01
 43 -0.06751 -4.25811e+01 | 44  0.05782 -1.43946e+02 | 45 -0.03852 -6.44141e+01
 46 -0.07466 -3.51567e+01 | 47  0.03478 -1.17331e+02 | 48  0.02341 -1.18270e+02
 49 -0.09944 -3.08108e+01 | 50 -0.02861 -8.22328e+01 | 51 -0.07278 -5.32624e+01
 52 -0.10428 -5.09885e+01 | 53 -0.04325 -7.42437e+01 | 54  0.05598 -1.26788e+02
 55 -0.02184 -4.67282e+01 | 56  0.09855 -1.16869e+02 | 57 -0.08212 -9.87305e+00
 58  0.05634 -2.43521e+01 | 59  0.09905 -4.02286e+01 | 60 -0.00238 -2.71599e+01
 61  0.10201 -1.58654e+01 | 62 -0.08488 -1.32067e+00 | 63 -0.05539 -5.15980e+00
 64 -0.12575 -8.12403e-01 | 65 -0.10047  6.57315e+00 | 66  0.09685  4.69592e+00
 67 -0.16717  6.54569e-01 | 68 -0.02816 -2.40999e+00 | 69 -0.89296 -6.56747e-01
 70  0.02564 -1.74632e+02 | 71  0.01542 -1.74009e+02 | 72  0.09024 -3.09452e-05
 73  0.10154  5.02434e+02 | 74 -0.00758 -4.42102e-05 | 75 -0.08855 -3.48106e+02
 76 -0.11291 -7.46147e+00 | 77  0.02038  4.48229e+02 | 78 -0.00301 -6.09559e+00
 79  0.04597 -4.47816e+01 | 80 -0.20378 -4.04167e+02 | 81 -0.02502  6.87083e+00
 82 -0.45356  4.20306e-01 | 83 -0.28270  2.54820e-01 | 84  0.08423 -1.61129e+01
 85 -0.62488 -7.92607e+02 | 86  0.00044 -2.20206e-03 | 87 -0.09793 -3.30076e-04
 88 -0.00008 -3.74369e+00 | 89  0.01709 -3.27553e+01 | 90  0.00551 -2.97085e+01
 91  0.00323 -1.38034e+01 | 92  0.00207 -7.33113e+01 | 93  0.00918 -2.45667e+01
 94  0.00930 -1.64053e+01 | 95  0.00350 -3.46886e+01 | 96  0.01251 -4.36462e+01
 97 -0.01372 -2.49409e+01 | 98  0.01506 -2.68166e+01 | 99  0.01011 -4.41207e+01
100  0.02593 -3.98262e+01 |101  0.00082 -1.32294e+01 |102  0.02150 -9.14452e+00
103 -0.02157 -1.42099e+01 |104 -0.02705 -1.48693e+01 |105 -0.02221 -1.50460e+01
106 -0.03464 -3.82774e+01 |107 -0.03698 -1.22035e+01 |108  0.01185 -5.04210e+01
109 -0.03862 -1.06078e+01 |110 -0.01084 -2.22856e+01 |111  0.00522 -3.92380e+01
112 -0.02714 -2.00930e+01 |113  0.04572 -1.80887e+01 |114  0.03405 -7.74989e-01
115  0.04911  9.39475e+00 |116  0.05360 -2.18311e+00 |117  0.03720 -2.02291e+00
118  0.05126 -1.34025e+01 |119  0.02298 -5.40284e-01 |120  0.09912  4.18735e+00
121  0.00845 -1.07272e+02 |122 -0.00649 -1.29748e+02 |123 -0.01255 -1.40113e+02
124  0.02859 -1.87378e+02 |125  0.01141 -2.82241e+02 |126  0.00583 -2.25450e+02
127  0.00539 -2.07798e+02 |128  0.00471 -1.75692e+02 |129 -0.00484 -1.72618e+02
130  0.00024 -1.86311e+02 |131 -0.00640 -1.88897e+02 |132  0.01135 -2.67434e+02
133 -0.00839 -2.59568e+02 |134  0.01212 -2.66077e+02 |135 -0.00021 -1.98518e+02
136 -0.01632 -2.03702e+02 |137  0.01945 -1.79327e+02 |138 -0.01305 -1.54539e+02
139  0.01322 -2.08078e+02 |140  0.02196 -2.24522e+02 |141 -0.00414 -2.28260e+02
142  0.00019 -2.14063e+02 |143  0.01876 -2.36004e+02 |144 -0.01419 -2.15651e+02
145  0.02631 -2.13783e+02 |146  0.00103 -1.60338e+02 |147  0.00975 -1.21750e+02
148 -0.01759 -7.35648e+01 |149  0.01246 -6.09520e+01 |150  0.00792 -2.23491e+01
151 -0.02771 -1.43266e+00 |152  0.03102  3.78791e+00 |153 -0.00586  2.74928e+00
153 variables; iteration 120; function evaluation 129; phase 8
Function value 1.8033340e+04; maximum gradient component mag -6.1983e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.22752  1.27697e+02 |  2 -0.07106 -3.16905e+01 |  3  0.07628 -1.44428e+02
  4 -0.47898 -4.02840e+02 |  5 -0.58506 -2.85270e+02 |  6 -0.23431 -9.09456e+00
  7 -0.14984 -1.53675e+01 |  8  0.02607 -9.98535e+01 |  9  0.07702 -2.23541e+01
 10 -0.02606 -2.81355e+01 | 11 -0.09901 -8.08811e-01 | 12 -0.26025 -8.55782e-01
 13 -0.26517 -8.46052e-01 | 14 -0.27120 -8.69337e-01 | 15 -0.27801 -9.25943e-01
 16 -0.28537 -1.01144e+00 | 17 -0.29215 -1.10069e+00 | 18 -0.29597 -1.14149e+00
 19 -0.28689 -9.64588e-01 | 20 -0.25079 -1.28244e-01 | 21 -0.16473 -1.55157e+00
 22 -0.15056 -4.98393e+00 | 23 -0.18991 -3.44587e+00 | 24 -0.02009 -6.31126e+00
 25  0.07550 -7.96097e+00 | 26  0.04763  2.76574e+00 | 27  0.03994 -4.00314e+00
 28 -0.07267 -1.03300e+01 | 29 -0.11799 -3.12484e+00 | 30  0.08795  5.37326e+00
 31 -0.08747  8.89197e-01 | 32  0.07960 -4.22872e+00 | 33 -0.02939  9.94231e+00
 34 -0.09344  5.65574e+00 | 35 -0.17308 -3.88475e+00 | 36 -0.08300 -1.79187e+01
 37  0.02550  9.59062e+00 | 38 -0.00189 -2.08808e+01 | 39 -0.00620 -2.36499e+01
 40  0.08761 -5.60468e+00 | 41 -0.02759 -1.25626e+01 | 42 -0.05648  7.50670e-01
 43 -0.06417 -2.27102e+00 | 44  0.06170 -3.38145e+00 | 45 -0.03378  1.56554e+01
 46 -0.07233  1.83848e+00 | 47  0.03817 -2.66602e+01 | 48  0.02624 -4.83677e+01
 49 -0.09668 -5.20305e+00 | 50 -0.02481  4.58356e+00 | 51 -0.06847  7.13233e+00
 52 -0.09917  7.73838e+00 | 53 -0.03957 -9.12477e+00 | 54  0.06064  2.83434e+01
 55 -0.01808  9.16849e+00 | 56  0.10201 -1.37396e+01 | 57 -0.07832  6.79630e+00
 58  0.05991  1.88962e+01 | 59  0.10246 -1.57015e+00 | 60  0.00231 -6.81284e-01
 61  0.10563  1.32204e+01 | 62 -0.08002  1.15697e+01 | 63 -0.05191 -1.74214e+00
 64 -0.12242  8.20112e-01 | 65 -0.09598  1.48927e+01 | 66  0.10117  2.27905e+01
 67 -0.16272  4.79456e+00 | 68 -0.02396  7.05089e+00 | 69 -0.89186 -4.55695e+00
 70  0.02896 -1.71495e+01 | 71  0.01542 -4.86666e+01 | 72  0.09030  9.52569e-06
 73  0.10163  1.67733e+02 | 74 -0.00755 -4.33920e-05 | 75 -0.08539  2.25711e+01
 76 -0.15392 -2.24177e-01 | 77  0.02162 -2.41926e+01 | 78 -0.00081 -6.23696e-02
 79  0.05594 -7.00498e+00 | 80 -0.20374 -1.35721e+02 | 81 -0.02710  7.75479e+00
 82 -0.45253  1.51661e-01 | 83 -0.28617  3.35947e-01 | 84  0.09149 -5.91855e+00
 85 -0.62491 -6.19828e+02 | 86  0.00001 -2.63130e-03 | 87 -0.09781 -3.19822e-04
 88 -0.00059 -6.20752e+00 | 89  0.01653 -1.17068e+01 | 90  0.00556 -6.10955e-01
 91  0.00255 -1.10844e+01 | 92  0.00085 -2.90610e+00 | 93  0.00920 -1.58376e+01
 94  0.00900 -1.13530e+01 | 95  0.00279 -2.38352e+01 | 96  0.01206 -3.14050e+01
 97 -0.01371  2.08616e+00 | 98  0.01491 -3.01981e+00 | 99  0.00911 -1.63457e+01
100  0.02551 -1.41617e+01 |101  0.00160  3.15402e+01 |102  0.02153 -1.67903e+01
103 -0.02239 -4.92146e+00 |104 -0.02678  7.69102e+00 |105 -0.02303  1.39757e+00
106 -0.03445  4.11443e+00 |107 -0.03690  1.37815e+01 |108  0.01212 -5.02986e+00
109 -0.03884  2.50142e+00 |110 -0.01049 -7.28956e-01 |111  0.00490 -1.62303e-02
112 -0.02731 -2.97377e+00 |113  0.04554 -6.53607e+00 |114  0.03375  4.78718e+00
115  0.04867 -1.07890e+00 |116  0.05358  4.17796e+00 |117  0.03974  3.91707e+00
118  0.05088 -1.92886e+01 |119  0.02292 -9.49596e+00 |120  0.09759 -6.42501e+00
121  0.00917 -1.78407e+01 |122 -0.00548 -1.28636e+01 |123 -0.01297 -3.76176e+01
124  0.02875 -4.50345e+01 |125  0.01296 -9.79451e+00 |126  0.00596 -3.80918e+01
127  0.00582 -4.62611e+01 |128  0.00535 -2.74127e+01 |129 -0.00409 -5.13561e+01
130  0.00042 -5.27760e+01 |131 -0.00672 -4.36279e+01 |132  0.01229 -3.96449e+01
133 -0.00759 -2.36423e+01 |134  0.01214 -4.62358e+01 |135 -0.00034 -4.25614e+01
136 -0.01421 -1.42490e+01 |137  0.01864 -5.39162e+01 |138 -0.01144  9.45549e-01
139  0.01353 -3.13767e+01 |140  0.02238 -3.31467e+01 |141 -0.00435 -3.68562e+01
142  0.00169 -1.01990e+00 |143  0.01869 -3.60242e+01 |144 -0.01344 -1.34489e+01
145  0.02701 -8.87119e+00 |146  0.00141 -1.62076e+01 |147  0.01043 -6.20396e-01
148 -0.01699 -1.83151e+00 |149  0.01334 -2.01252e+01 |150  0.00682 -9.47400e+00
151 -0.02598  9.71619e+00 |152  0.02937 -2.25465e+00 |153 -0.00402 -8.78410e-01
153 variables; iteration 140; function evaluation 157; phase 8
Function value 1.8032424e+04; maximum gradient component mag -7.2265e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.23497  1.74360e+02 |  2 -0.07008 -3.09332e+01 |  3  0.07794 -1.35715e+02
  4 -0.48000 -3.95349e+02 |  5 -0.58503 -2.74747e+02 |  6 -0.23413 -3.81748e+00
  7 -0.14895 -8.80015e+00 |  8  0.02605 -1.44682e+02 |  9  0.07756 -2.03858e+01
 10 -0.03650 -8.94647e+01 | 11 -0.09798  1.09596e-01 | 12 -0.25197  3.72705e-01
 13 -0.26067 -7.99346e-02 | 14 -0.26835 -2.69167e-01 | 15 -0.27551 -3.08694e-01
 16 -0.28299 -3.44712e-01 | 17 -0.29045 -4.83471e-01 | 18 -0.29601 -7.64132e-01
 19 -0.28758 -6.82905e-01 | 20 -0.25400 -6.70720e-02 | 21 -0.16338  2.79157e-01
 22 -0.15105 -2.44464e+00 | 23 -0.18191 -1.00089e+00 | 24 -0.02203 -2.80940e+00
 25  0.07573 -2.65244e+00 | 26  0.04645  2.19531e+00 | 27  0.03977 -1.28410e+00
 28 -0.07129 -1.85507e+00 | 29 -0.11768 -4.09859e+00 | 30  0.08858  8.49342e-01
 31 -0.08732 -9.29325e-01 | 32  0.08036 -1.00338e+01 | 33 -0.02971 -2.97370e+00
 34 -0.09248  4.54194e+00 | 35 -0.17297 -5.79739e+00 | 36 -0.08098 -7.68604e+00
 37  0.02579 -1.06581e+01 | 38 -0.00032 -1.42385e+01 | 39 -0.00429 -1.46308e+01
 40  0.08833 -2.43712e+01 | 41 -0.02638 -1.55578e+01 | 42 -0.05591 -7.31519e+00
 43 -0.06331 -8.46433e+00 | 44  0.06256 -1.66656e+01 | 45 -0.03369 -2.87982e+00
 46 -0.06977  5.32035e+00 | 47  0.03918 -3.12849e+01 | 48  0.02850 -2.67062e+01
 49 -0.09588 -1.66957e+01 | 50 -0.02325 -2.83297e+00 | 51 -0.06732  1.89229e+00
 52 -0.09826 -6.84494e-01 | 53 -0.03741  3.83978e+00 | 54  0.06150  6.86775e+00
 55 -0.01675  2.93064e+00 | 56  0.10360 -1.83385e+00 | 57 -0.07626  8.33674e+00
 58  0.06021  1.68363e+00 | 59  0.10389  1.04203e+01 | 60  0.00330  4.39953e-01
 61  0.10638  6.53116e+00 | 62 -0.08118 -4.26373e+00 | 63 -0.05041  4.52545e+00
 64 -0.12051  6.15322e+00 | 65 -0.09545  9.78523e+00 | 66  0.10135  1.46237e+01
 67 -0.16267  3.70708e+00 | 68 -0.02261  6.61946e+00 | 69 -0.89202 -5.15192e+00
 70  0.03416  2.34956e+01 | 71  0.01304 -6.33260e+01 | 72  0.09030 -5.91858e-05
 73  0.10094  1.22266e+02 | 74 -0.00751 -4.48542e-05 | 75 -0.08632  3.85725e+01
 76 -0.13846 -9.48420e-01 | 77  0.02103 -6.95847e+01 | 78 -0.03516 -3.57577e-01
 79  0.06194 -6.26525e+00 | 80 -0.20376 -1.18837e+02 | 81 -0.02299  1.77055e+01
 82 -0.45450  1.14505e-01 | 83 -0.41674  9.75814e-02 | 84  0.09165 -5.01923e+00
 85 -0.62495 -7.22648e+02 | 86  0.00087  3.99259e-04 | 87 -0.09760 -2.14041e-04
 88 -0.00078 -4.44417e+00 | 89  0.01664 -6.98230e+00 | 90  0.00535 -1.02782e+00
 91  0.00181 -1.99165e+01 | 92  0.00098  6.60194e+00 | 93  0.00956 -5.86699e+00
 94  0.00888 -9.16106e+00 | 95  0.00320 -1.05389e+01 | 96  0.01281 -3.03322e+01
 97 -0.01405 -3.48186e+00 | 98  0.01479  1.20579e+00 | 99  0.00945 -5.63266e+00
100  0.02556 -7.92251e+00 |101  0.00049  1.45176e+01 |102  0.02140 -2.70093e+01
103 -0.02236 -8.03921e-01 |104 -0.02715 -5.25574e-02 |105 -0.02299 -2.79388e+00
106 -0.03485 -1.06518e+01 |107 -0.03812  2.13495e+00 |108  0.01173 -1.46995e+01
109 -0.03900  2.93294e-01 |110 -0.01160 -9.37635e+00 |111  0.00487  6.88011e+00
112 -0.02745  2.39783e+00 |113  0.04512 -1.04597e+01 |114  0.03392  5.68187e+00
115  0.04836 -1.06425e+01 |116  0.05336  1.17378e-01 |117  0.03883  2.18917e+00
118  0.05131 -7.27774e+00 |119  0.02277 -4.58740e+00 |120  0.09859 -5.30702e+00
121  0.00964 -1.89321e+01 |122 -0.00557 -1.96530e+01 |123 -0.01237 -3.21056e+01
124  0.02944 -4.17673e+01 |125  0.01317 -2.36681e+00 |126  0.00604 -3.72510e+01
127  0.00639 -4.77869e+01 |128  0.00574 -3.52791e+01 |129 -0.00466 -8.53877e+01
130  0.00092 -6.12222e+01 |131 -0.00572 -3.79134e+01 |132  0.01235 -4.70853e+01
133 -0.00766 -3.66878e+01 |134  0.01316 -3.47197e+01 |135 -0.00022 -5.69188e+01
136 -0.01436 -2.55293e+01 |137  0.01953 -4.72550e+01 |138 -0.01187 -1.99509e+01
139  0.01373 -2.77959e+01 |140  0.02324 -1.77037e+01 |141 -0.00370 -2.54351e+01
142  0.00129 -5.84397e+00 |143  0.01958 -2.34899e+01 |144 -0.01313 -1.54109e+00
145  0.02736  5.23792e+00 |146  0.00201 -5.77278e+00 |147  0.01015 -1.33509e+00
148 -0.01646 -3.25000e-01 |149  0.01369 -9.60302e+00 |150  0.00727 -9.50424e+00
151 -0.02695 -1.19611e+01 |152  0.03057 -1.08044e+01 |153 -0.00527 -4.32345e+00
153 variables; iteration 160; function evaluation 187; phase 8
Function value 1.8031672e+04; maximum gradient component mag 4.3962e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.24889 -3.04181e+01 |  2 -0.06883  2.10474e+00 |  3  0.08317  1.36044e+01
  4 -0.48264  4.39623e+01 |  5 -0.58469  3.32719e+01 |  6 -0.23419  2.48755e-01
  7 -0.14723  4.82636e-01 |  8  0.02605  1.44208e+00 |  9  0.07856  4.70025e-01
 10 -0.05512  2.76068e+01 | 11 -0.10060 -7.29074e-02 | 12 -0.26317 -4.03970e-03
 13 -0.26870  3.81910e-02 | 14 -0.27576 -1.68181e-02 | 15 -0.28270  1.64894e-02
 16 -0.29023  1.04013e-02 | 17 -0.29720 -2.17427e-02 | 18 -0.30049  6.33929e-02
 19 -0.29191  3.66363e-02 | 20 -0.25944  5.57683e-02 | 21 -0.17104  1.19982e-01
 22 -0.14925  1.58033e-01 | 23 -0.18679  1.40082e-01 | 24 -0.02203  4.78034e-01
 25  0.07379  1.15578e+00 | 26  0.04395  9.47460e-01 | 27  0.03907  1.04694e+00
 28 -0.07173  4.92525e-01 | 29 -0.11610  3.45662e-01 | 30  0.08911  2.11761e+00
 31 -0.08705  6.03908e-01 | 32  0.08124  2.51578e+00 | 33 -0.02938  1.12632e+00
 34 -0.09230  6.33126e-01 | 35 -0.16999  3.80223e-01 | 36 -0.07916  9.41631e-01
 37  0.02737  2.30377e+00 | 38  0.00149  1.80823e+00 | 39 -0.00264  1.86511e+00
 40  0.08950  3.40687e+00 | 41 -0.02476  1.38297e+00 | 42 -0.05450  1.06409e+00
 43 -0.06188  1.05369e+00 | 44  0.06395  2.60520e+00 | 45 -0.03132  1.21711e+00
 46 -0.06889  9.27420e-01 | 47  0.04159  2.38764e+00 | 48  0.03100  2.12220e+00
 49 -0.09231  8.38312e-01 | 50 -0.02115  1.30887e+00 | 51 -0.06505  7.68740e-01
 52 -0.09589  6.86878e-01 | 53 -0.03540  7.55498e-01 | 54  0.06365  1.70507e+00
 55 -0.01456  7.55205e-01 | 56  0.10594  1.57292e+00 | 57 -0.07506  3.07456e-01
 58  0.06201  6.05091e-01 | 59  0.10517  3.86604e-01 | 60  0.00452  2.21090e-01
 61  0.10708  2.63692e-01 | 62 -0.07924  3.62934e-02 | 63 -0.04914 -1.68890e-02
 64 -0.11967 -1.22468e-02 | 65 -0.09496  7.23024e-03 | 66  0.10205 -5.18014e-02
 67 -0.16312  3.69830e-03 | 68 -0.02121 -3.72956e-02 | 69 -0.89208  4.47252e-02
 70  0.04328  1.32452e+00 | 71  0.01990  3.33245e+00 | 72  0.08983  3.96550e-05
 73  0.10302 -8.29571e+00 | 74 -0.00709 -4.03295e-05 | 75 -0.08663  2.11384e+00
 76 -0.12321  1.46771e-01 | 77  0.02119 -2.38180e+00 | 78 -0.09657  5.35212e-02
 79  0.07191  5.46523e-01 | 80 -0.20364  1.11569e+01 | 81 -0.03051  7.62989e-01
 82 -0.42889 -4.31218e-02 | 83 -0.30324  4.12705e-03 | 84  0.10651  1.44112e-01
 85 -0.62502 -2.19551e+01 | 86  0.00068  2.96241e-05 | 87 -0.09544 -1.99888e-04
 88 -0.00098  2.34055e-01 | 89  0.01663  5.87721e-01 | 90  0.00507  5.07650e-01
 91  0.00225  5.75039e-01 | 92  0.00150  7.71573e-01 | 93  0.00917  3.62933e-01
 94  0.00869  3.96345e-01 | 95  0.00354  3.48283e-01 | 96  0.01210  1.00023e+00
 97 -0.01425  3.73858e-01 | 98  0.01465  2.75154e-01 | 99  0.00924  6.84551e-01
100  0.02541  6.49455e-01 |101 -0.00023  1.52716e-01 |102  0.02139  6.39263e-01
103 -0.02240  2.01439e-01 |104 -0.02741  1.82167e-01 |105 -0.02294  3.08396e-01
106 -0.03495  5.72808e-01 |107 -0.03830  2.77160e-01 |108  0.01166  7.02001e-01
109 -0.03910  1.16697e-01 |110 -0.01157  4.29474e-01 |111  0.00469  2.32983e-01
112 -0.02748  6.22380e-02 |113  0.04517  2.35221e-01 |114  0.03354 -2.02844e-02
115  0.04859  1.36834e-01 |116  0.05314  3.24944e-02 |117  0.03854 -1.70350e-02
118  0.05126  4.34558e-02 |119  0.02264  1.53510e-02 |120  0.09940 -1.29421e-02
121  0.00999  2.49164e+00 |122 -0.00533  2.86807e+00 |123 -0.01143  2.90901e+00
124  0.02976  4.07256e+00 |125  0.01300  4.34591e+00 |126  0.00676  4.17593e+00
127  0.00716  3.94084e+00 |128  0.00586  3.38481e+00 |129 -0.00355  4.13514e+00
130  0.00160  3.79009e+00 |131 -0.00548  3.28917e+00 |132  0.01303  4.06256e+00
133 -0.00716  3.88716e+00 |134  0.01378  3.71538e+00 |135  0.00015  3.58394e+00
136 -0.01419  2.70668e+00 |137  0.02020  2.87356e+00 |138 -0.01173  2.12918e+00
139  0.01426  2.72249e+00 |140  0.02380  2.53094e+00 |141 -0.00317  2.75290e+00
142  0.00152  2.23108e+00 |143  0.02019  2.58713e+00 |144 -0.01255  1.95049e+00
145  0.02770  1.83566e+00 |146  0.00230  1.38426e+00 |147  0.01080  1.00324e+00
148 -0.01656  6.28110e-01 |149  0.01420  5.31751e-01 |150  0.00754  4.30393e-01
151 -0.02657  3.62583e-01 |152  0.03112  2.90417e-01 |153 -0.00608  1.17717e-01
153 variables; iteration 180; function evaluation 207; phase 8
Function value 1.8031670e+04; maximum gradient component mag 4.5561e-01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.24875  2.89635e-01 |  2 -0.06886 -2.76815e-02 |  3  0.08343 -1.27379e-01
  4 -0.48274 -3.50253e-01 |  5 -0.58464 -2.60457e-01 |  6 -0.23419  1.04623e-03
  7 -0.14720 -7.90279e-03 |  8  0.02605 -4.17803e-02 |  9  0.07855 -8.48336e-03
 10 -0.05496 -2.59618e-01 | 11 -0.10058 -2.04932e-03 | 12 -0.26300 -3.28549e-04
 13 -0.26882 -8.66384e-04 | 14 -0.27549  5.45765e-04 | 15 -0.28264 -4.79621e-04
 16 -0.29012  1.85222e-04 | 17 -0.29688  2.87627e-04 | 18 -0.30068 -9.22741e-04
 19 -0.29189  1.75062e-04 | 20 -0.25947 -1.76311e-03 | 21 -0.17107 -8.74908e-04
 22 -0.14925  1.76658e-03 | 23 -0.18691  5.92258e-04 | 24 -0.02198  6.16178e-03
 25  0.07377  3.83241e-03 | 26  0.04398 -7.12345e-03 | 27  0.03907  4.14268e-03
